date,orig,error,dest,start_time,end_time,duration,economy_price,comfort_price,premier_price,check_again
07/26/2014,Paris,False,London,1:13PM,2:39PM,1:26:00,$266,$304,$507,False
07/26/2014,Paris,False,London,2:13PM,3:30PM,1:17:00,$266,$304,$507,False
07/26/2014,Paris,False,London,3:13PM,4:39PM,1:26:00,$266,$304,$507,False
07/26/2014,Paris,False,London,4:13PM,5:39PM,1:26:00,$356,$405,$507,False
07/26/2014,Paris,False,London,5:13PM,6:30PM,1:17:00,$266,$405,$507,False
07/26/2014,Paris,False,London,7:13PM,8:39PM,1:26:00,$266,$304,$507,False
07/26/2014,Paris,False,London,8:13PM,9:39PM,1:26:00,$193,$405,$507,False
07/29/2014,Paris,False,London,7:13AM,8:30AM,1:17:00,$356,$405,$507,False
07/29/2014,Paris,False,London,7:43AM,9:00AM,1:17:00,$356,$405,$507,False
07/29/2014,Paris,False,London,9:13AM,10:39AM,1:26:00,$356,$405,$507,False
07/29/2014,Paris,False,London,10:13AM,11:39AM,1:26:00,$266,$304,$507,False
07/29/2014,Paris,False,London,11:13AM,12:30PM,1:17:00,$356,$405,$507,False
07/29/2014,Paris,False,London,11:43AM,1:00PM,1:17:00,$193,$214,$507,False
07/29/2014,Paris,False,London,12:43PM,2:00PM,1:17:00,$266,$304,$507,False
07/29/2014,Paris,False,London,1:13PM,2:39PM,1:26:00,$266,$304,$507,False
07/29/2014,Paris,False,London,2:43PM,4:00PM,1:17:00,$193,$304,$507,False
07/29/2014,Paris,False,London,3:13PM,4:39PM,1:26:00,$266,$304,$507,False
07/29/2014,Paris,False,London,4:13PM,5:39PM,1:26:00,$266,$405,$507,False
07/29/2014,Paris,False,London,5:13PM,6:30PM,1:17:00,$266,$405,$507,False
07/29/2014,Paris,False,London,6:13PM,7:39PM,1:26:00,$356,$405,$507,False
07/29/2014,Paris,False,London,6:43PM,8:00PM,1:17:00,$266,$405,$507,False
07/29/2014,Paris,False,London,7:13PM,8:41PM,1:28:00,$193,$304,$507,False
07/29/2014,Paris,False,London,8:13PM,9:39PM,1:26:00,$266,$405,$507,False
07/29/2014,Paris,False,London,9:13PM,10:39PM,1:26:00,$193,$304,$507,False
08/03/2014,Paris,False,London,8:13AM,9:30AM,1:17:00,$405,$507,,True
08/03/2014,Paris,False,London,9:13AM,10:39AM,1:26:00,$193,$214,$507,False
08/03/2014,Paris,False,London,10:13AM,11:39AM,1:26:00,$153,$304,$507,False
08/03/2014,Paris,False,London,11:13AM,12:30PM,1:17:00,$266,$304,$507,False
08/03/2014,Paris,False,London,11:43AM,1:00PM,1:17:00,$193,$214,$507,False
08/03/2014,Paris,False,London,12:13PM,1:30PM,1:17:00,$266,$304,$507,False
08/03/2014,Paris,False,London,1:13PM,2:39PM,1:26:00,$266,$304,$507,False
08/03/2014,Paris,False,London,1:43PM,3:00PM,1:17:00,$193,$214,$507,False
08/03/2014,Paris,False,London,2:13PM,3:30PM,1:17:00,$266,$304,$507,False
08/03/2014,Paris,False,London,3:13PM,4:39PM,1:26:00,$266,$304,$507,False
08/03/2014,Paris,False,London,4:13PM,5:39PM,1:26:00,$266,$304,$507,False
08/03/2014,Paris,False,London,4:43PM,6:00PM,1:17:00,$266,$304,$507,False
08/03/2014,Paris,False,London,5:13PM,6:30PM,1:17:00,$356,$405,$507,False
08/03/2014,Paris,False,London,6:13PM,7:39PM,1:26:00,$356,$304,$507,False
08/03/2014,Paris,False,London,6:43PM,8:00PM,1:17:00,$266,$304,$507,False
08/03/2014,Paris,False,London,7:13PM,8:39PM,1:26:00,$266,$304,$507,False
08/03/2014,Paris,False,London,8:13PM,9:39PM,1:26:00,$266,$304,$507,False
08/03/2014,Paris,False,London,8:43PM,10:00PM,1:17:00,$266,$304,$507,False
07/26/2014,London,True,Frankfurt,,,,,,,False
07/29/2014,London,False,Frankfurt,8:58AM,4:30PM,7:32:00,$343,$498,$776,False
07/29/2014,London,False,Frankfurt,10:58AM,5:41PM,6:43:00,$314,$460,$738,False
07/29/2014,London,False,Frankfurt,12:58PM,9:30PM,8:32:00,$285,$460,$738,False
08/03/2014,London,False,Frankfurt,8:58AM,5:41PM,8:43:00,$314,$460,$738,False
08/03/2014,London,False,Frankfurt,8:58AM,4:30PM,7:32:00,$357,$483,$776,False
08/03/2014,London,False,Frankfurt,9:22AM,5:41PM,8:19:00,$445,$624,$862,False
